VCD info: dumpfile alu.vcd opened for output.
tiempo=2190 A=1101 B=1011 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2200 A=1101 B=1100 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2210 A=1101 B=1101 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2220 A=1101 B=1110 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2230 A=1101 B=1111 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2240 A=1110 B=0000 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2250 A=1110 B=0001 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2260 A=1110 B=0010 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2270 A=1110 B=0011 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2280 A=1110 B=0100 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2290 A=1110 B=0101 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2300 A=1110 B=0110 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2310 A=1110 B=0111 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2320 A=1110 B=1000 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2330 A=1110 B=1001 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2340 A=1110 B=1010 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2350 A=1110 B=1011 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2360 A=1110 B=1100 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2370 A=1110 B=1101 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2380 A=1110 B=1110 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2390 A=1110 B=1111 c_in=0 L=0 OP=00 R=1110, Z=0, C=0, S=1. ---- OK
tiempo=2400 A=1111 B=0000 c_in=0 L=0 OP=00 R=1111, Z=0, C=0, S=1. ---- OK
tiempo=2410 A=1111 B=0001 c_in=0 L=0 OP=00 R=1111, Z=0, C=0, S=1. ---- OK
tiempo=2420 A=1111 B=0010 c_in=0 L=0 OP=00 R=1111, Z=0, C=0, S=1. ---- OK
tiempo=2430 A=1111 B=0011 c_in=0 L=0 OP=00 R=1111, Z=0, C=0, S=1. ---- OK
